coh_m1,phi_m1,coh_m2,phi_m2,srf,origin
96.8243,25.8637,0.406153,33.0324,1.44,validation
100.282,25.7294,0.36969,35.6181,1.5,validation
95.4104,24.817,0.184291,34.9083,1.44,validation
95.4304,26.8605,0.387818,36.0578,1.53,validation
100.689,24.0313,0.627173,31.2329,1.37,validation
95.2654,24.4104,0.0370409,35.6433,1.45,validation
91.7332,22.056,0.292783,35.3091,1.35,validation
97.1509,24.9592,0.426031,34.7586,1.45,validation
99.1724,24.3214,1.51445,37.801,1.49,validation
96.1388,23.9727,0.0760142,34.4631,1.41,validation
91.5795,22.9503,1.25114,33.0933,1.35,validation
100.785,22.908,0.195784,35.3803,1.42,validation
100.767,25.2282,1.61812,34.5733,1.47,validation
96.9602,26.7155,1.46268,36.3469,1.54,validation
92.5405,24.2904,0.654848,36.436,1.45,validation
97.5686,23.2331,1.50064,34.2529,1.4,validation
101.89,24.7912,0.205254,32.0111,1.41,validation
100.581,22.772,1.35023,35.9627,1.42,validation
100.196,26.6738,0.721199,36.0452,1.54,validation
100.063,26.8464,0.706137,32.2352,1.45,validation
101.081,21.887,0.49677,35.6209,1.38,validation
100.56,22.121,0.697622,37.4275,1.4,validation
99.1589,26.032,1.41323,34.8682,1.49,validation
98.9787,26.7981,0.545128,35.3332,1.52,validation
98.4532,25.015,1.4008,37.8441,1.52,validation
96.3168,27.5578,0.579576,33.7201,1.5,validation
93.019,22.7541,0.356355,34.2043,1.37,validation
98.8659,24.9246,0.31723,35.8861,1.48,validation
101.752,27.4375,0.770556,36.2857,1.57,validation
98.3216,23.5356,1.06233,37.1059,1.45,validation
98.0186,27.9121,0.236336,35.7871,1.56,validation
94.734,24.6476,0.160457,35.7428,1.46,validation
96.9703,24.8616,0.813725,37.5193,1.5,validation
94.918,26.9165,0.831823,34.9792,1.5,validation
96.0283,26.0915,0.139466,36.4628,1.52,validation
98.1356,24.3487,0.149779,36.3635,1.47,validation
95.9408,23.4145,0.588373,37.2974,1.44,validation
101.924,22.8292,0.789452,37.5355,1.44,validation
94.9889,25.0183,1.10428,36.4078,1.49,validation
99.9996,26.1319,0.306913,33.6858,1.47,validation
94.7723,23.6303,1.45608,33.2656,1.38,validation
93.8189,25.9338,0.219343,33.6594,1.44,validation
101.138,25.9768,0.75232,33.0673,1.46,validation
95.5362,25.5207,0.165066,34.6402,1.46,validation
99.5884,26.1572,1.50162,37.2765,1.55,validation
99.4771,25.7723,1.22707,37.8671,1.55,validation
95.0124,27.8397,1.22244,34.7335,1.52,validation
100.127,26.478,1.86107,35.2102,1.52,validation
101.195,26.2127,0.916027,35.5083,1.52,validation
101.199,26.8264,1.0537,34.0636,1.51,validation
101.656,25.8107,0.362577,35.3231,1.5,validation
96.0043,25.4676,1.23008,31.6267,1.4,validation
95.6561,24.2071,0.278362,32.7646,1.39,validation
94.0924,24.6714,0.0818969,33.5674,1.41,validation
99.9632,22.3041,0.977628,35.6799,1.4,validation
99.3236,22.8691,0.0273235,36.5784,1.42,validation
93.864,25.3486,0.272082,32.7597,1.41,validation
99.5189,25.6906,0.222814,34.3899,1.47,validation
97.2402,25.6459,0.028901,31.2941,1.39,validation
95.0941,27.2761,0.394938,34.9281,1.51,validation
95.0375,22.9598,0.687187,33.4519,1.36,validation
96.205,21.8675,0.486499,33.7945,1.34,validation
98.5007,24.8767,0.103791,36.5016,1.49,validation
99.4403,26.7216,0.996519,33.0793,1.47,validation
95.8958,21.1483,1.64826,33.631,1.32,validation
101.619,25.2985,1.75308,33.3057,1.45,validation
99.8083,23.7783,0.582382,33.968,1.41,validation
99.1329,25.3312,1.16929,32.6746,1.43,validation
96.3913,24.2891,0.16877,36.1059,1.46,validation
